liker_index,indexed_at,hours_since_post,collected_at
90,2026-03-19 19:26:44.274000+00:00,0.1329375,2026-06-10T11:00:20+00:00
91,2026-03-19 19:26:49.534000+00:00,0.1343986111111111,2026-06-10T11:00:20+00:00
92,2026-03-19 19:26:55.808000+00:00,0.13614138888888888,2026-06-10T11:00:20+00:00
93,2026-03-19 19:26:56.993000+00:00,0.13647055555555554,2026-06-10T11:00:20+00:00
94,2026-03-19 19:26:58.258000+00:00,0.13682194444444445,2026-06-10T11:00:20+00:00
95,2026-03-19 19:26:58.355000+00:00,0.13684888888888888,2026-06-10T11:00:20+00:00
96,2026-03-19 19:27:02.598000+00:00,0.1380275,2026-06-10T11:00:20+00:00
97,2026-03-19 19:27:05.467000+00:00,0.13882444444444444,2026-06-10T11:00:20+00:00
98,2026-03-19 19:27:11.524000+00:00,0.14050694444444445,2026-06-10T11:00:20+00:00
99,2026-03-19 19:27:15.887000+00:00,0.1417188888888889,2026-06-10T11:00:20+00:00
100,2026-03-19 19:27:19.886000+00:00,0.14282972222222223,2026-06-10T11:00:20+00:00
101,2026-03-19 19:27:22.110000+00:00,0.14344749999999998,2026-06-10T11:00:20+00:00
102,2026-03-19 19:27:41.297000+00:00,0.1487772222222222,2026-06-10T11:00:20+00:00
103,2026-03-19 19:27:43.053000+00:00,0.149265,2026-06-10T11:00:20+00:00
104,2026-03-19 19:27:43.460000+00:00,0.14937805555555556,2026-06-10T11:00:20+00:00
105,2026-03-19 19:27:44.266000+00:00,0.14960194444444444,2026-06-10T11:00:20+00:00
106,2026-03-19 19:27:44.919000+00:00,0.14978333333333335,2026-06-10T11:00:20+00:00
107,2026-03-19 19:27:50.882000+00:00,0.1514397222222222,2026-06-10T11:00:20+00:00
108,2026-03-19 19:27:52.209000+00:00,0.15180833333333332,2026-06-10T11:00:20+00:00
109,2026-03-19 19:28:01.422000+00:00,0.1543675,2026-06-10T11:00:20+00:00
110,2026-03-19 19:28:03.545000+00:00,0.15495722222222222,2026-06-10T11:00:20+00:00
111,2026-03-19 19:28:05.377000+00:00,0.1554661111111111,2026-06-10T11:00:20+00:00
112,2026-03-19 19:28:05.902000+00:00,0.15561194444444443,2026-06-10T11:00:20+00:00
113,2026-03-19 19:28:12.934000+00:00,0.1575652777777778,2026-06-10T11:00:20+00:00
114,2026-03-19 19:28:22.772000+00:00,0.16029805555555554,2026-06-10T11:00:20+00:00
115,2026-03-19 19:28:26.340000+00:00,0.16128916666666665,2026-06-10T11:00:20+00:00
116,2026-03-19 19:28:26.660000+00:00,0.16137805555555557,2026-06-10T11:00:20+00:00
117,2026-03-19 19:28:29.056000+00:00,0.1620436111111111,2026-06-10T11:00:20+00:00
118,2026-03-19 19:28:29.755000+00:00,0.1622377777777778,2026-06-10T11:00:20+00:00
119,2026-03-19 19:28:35.453000+00:00,0.16382055555555555,2026-06-10T11:00:20+00:00
120,2026-03-19 19:28:35.465000+00:00,0.16382388888888888,2026-06-10T11:00:20+00:00
121,2026-03-19 19:28:41.727000+00:00,0.16556333333333334,2026-06-10T11:00:20+00:00
122,2026-03-19 19:28:44.322000+00:00,0.16628416666666668,2026-06-10T11:00:20+00:00
123,2026-03-19 19:28:45.680000+00:00,0.1666613888888889,2026-06-10T11:00:20+00:00
124,2026-03-19 19:28:49.255000+00:00,0.16765444444444447,2026-06-10T11:00:20+00:00
125,2026-03-19 19:28:49.728000+00:00,0.16778583333333333,2026-06-10T11:00:20+00:00
126,2026-03-19 19:28:52.598000+00:00,0.16858305555555556,2026-06-10T11:00:20+00:00
127,2026-03-19 19:28:53.734000+00:00,0.1688986111111111,2026-06-10T11:00:20+00:00
128,2026-03-19 19:28:56.593000+00:00,0.16969277777777778,2026-06-10T11:00:20+00:00
129,2026-03-19 19:28:59.254000+00:00,0.17043194444444443,2026-06-10T11:00:20+00:00
130,2026-03-19 19:29:00.845000+00:00,0.17087388888888888,2026-06-10T11:00:20+00:00
131,2026-03-19 19:29:01.999000+00:00,0.17119444444444443,2026-06-10T11:00:20+00:00
132,2026-03-19 19:29:06.006000+00:00,0.1723075,2026-06-10T11:00:20+00:00
133,2026-03-19 19:29:06.436000+00:00,0.17242694444444442,2026-06-10T11:00:20+00:00
134,2026-03-19 19:29:13.291000+00:00,0.1743311111111111,2026-06-10T11:00:20+00:00
135,2026-03-19 19:29:13.703000+00:00,0.17444555555555555,2026-06-10T11:00:20+00:00
136,2026-03-19 19:29:14.603000+00:00,0.17469555555555555,2026-06-10T11:00:20+00:00
137,2026-03-19 19:29:14.772000+00:00,0.1747425,2026-06-10T11:00:20+00:00
138,2026-03-19 19:29:17.052000+00:00,0.17537583333333331,2026-06-10T11:00:20+00:00
139,2026-03-19 19:29:17.510000+00:00,0.17550305555555556,2026-06-10T11:00:20+00:00
140,2026-03-19 19:29:18.211000+00:00,0.17569777777777776,2026-06-10T11:00:20+00:00
141,2026-03-19 19:29:19.480000+00:00,0.17605027777777776,2026-06-10T11:00:20+00:00
142,2026-03-19 19:29:21.077000+00:00,0.1764938888888889,2026-06-10T11:00:20+00:00
143,2026-03-19 19:29:26.584000+00:00,0.17802361111111112,2026-06-10T11:00:20+00:00
144,2026-03-19 19:29:29.564000+00:00,0.17885138888888888,2026-06-10T11:00:20+00:00
145,2026-03-19 19:29:35.236000+00:00,0.18042694444444446,2026-06-10T11:00:20+00:00
146,2026-03-19 19:29:39.233000+00:00,0.1815372222222222,2026-06-10T11:00:20+00:00
147,2026-03-19 19:29:39.615000+00:00,0.18164333333333335,2026-06-10T11:00:20+00:00
148,2026-03-19 19:29:39.827000+00:00,0.18170222222222224,2026-06-10T11:00:20+00:00
149,2026-03-19 19:29:40.858000+00:00,0.18198861111111111,2026-06-10T11:00:20+00:00
150,2026-03-19 19:29:44.181000+00:00,0.18291166666666667,2026-06-10T11:00:20+00:00
151,2026-03-19 19:29:50.552000+00:00,0.18468138888888888,2026-06-10T11:00:20+00:00
152,2026-03-19 19:29:50.816000+00:00,0.18475472222222222,2026-06-10T11:00:20+00:00
153,2026-03-19 19:29:55.596000+00:00,0.1860825,2026-06-10T11:00:20+00:00
154,2026-03-19 19:30:00.258000+00:00,0.1873775,2026-06-10T11:00:20+00:00
155,2026-03-19 19:30:03.912000+00:00,0.1883925,2026-06-10T11:00:20+00:00
156,2026-03-19 19:30:04+00:00,0.18841694444444446,2026-06-10T11:00:20+00:00
157,2026-03-19 19:30:04.198000+00:00,0.18847194444444446,2026-06-10T11:00:20+00:00
158,2026-03-19 19:30:07.027000+00:00,0.18925777777777777,2026-06-10T11:00:20+00:00
159,2026-03-19 19:30:11.776000+00:00,0.19057694444444445,2026-06-10T11:00:20+00:00
160,2026-03-19 19:30:23.174000+00:00,0.19374305555555557,2026-06-10T11:00:20+00:00
161,2026-03-19 19:30:23.707000+00:00,0.19389111111111113,2026-06-10T11:00:20+00:00
162,2026-03-19 19:30:27.209000+00:00,0.1948638888888889,2026-06-10T11:00:20+00:00
163,2026-03-19 19:30:32.149000+00:00,0.1962361111111111,2026-06-10T11:00:20+00:00
164,2026-03-19 19:30:35.357000+00:00,0.19712722222222223,2026-06-10T11:00:20+00:00
165,2026-03-19 19:30:40.060000+00:00,0.1984336111111111,2026-06-10T11:00:20+00:00
166,2026-03-19 19:30:40.384000+00:00,0.1985236111111111,2026-06-10T11:00:20+00:00
167,2026-03-19 19:30:42.900000+00:00,0.1992225,2026-06-10T11:00:20+00:00
168,2026-03-19 19:30:43.333000+00:00,0.19934277777777779,2026-06-10T11:00:20+00:00
169,2026-03-19 19:30:45.170000+00:00,0.19985305555555555,2026-06-10T11:00:20+00:00
170,2026-03-19 19:30:47.847000+00:00,0.20059666666666667,2026-06-10T11:00:20+00:00
171,2026-03-19 19:30:48.661000+00:00,0.20082277777777777,2026-06-10T11:00:20+00:00
172,2026-03-19 19:30:51.879000+00:00,0.20171666666666666,2026-06-10T11:00:20+00:00
173,2026-03-19 19:31:00.772000+00:00,0.20418694444444443,2026-06-10T11:00:20+00:00
174,2026-03-19 19:31:02.972000+00:00,0.20479805555555555,2026-06-10T11:00:20+00:00
175,2026-03-19 19:31:07.253000+00:00,0.2059872222222222,2026-06-10T11:00:20+00:00
176,2026-03-19 19:31:08.022000+00:00,0.20620083333333333,2026-06-10T11:00:20+00:00
177,2026-03-19 19:31:14.459000+00:00,0.2079888888888889,2026-06-10T11:00:20+00:00
